Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('admitted_total', 'Melaka')",72,"('admitted_total', 'Negeri Sembilan')",37,"('admitted_total', 'Johor')",38,"('admitted_total', 'Johor')",40,"('admitted_total', 'Melaka')",13,"('admitted_total', 'Kedah')",1,"('admitted_total', 'Johor')",97,"('admitted_total', 'Johor')",52,"('admitted_total', 'Johor')",55,"('admitted_total', 'Melaka')",71,"('admitted_total', 'Melaka')",65,"('admitted_total', 'Johor')",50,"('admitted_total', 'Melaka')",27,"('admitted_total', 'Johor')",69,"('admitted_total', 'Kedah')",68,"('admitted_total', 'Johor')",37
"('admitted_total', 'Negeri Sembilan')",13,"('beds_covid', 'Kedah')",98,"('admitted_total', 'Melaka')",34,"('admitted_total', 'Kedah')",21,"('admitted_total', 'Negeri Sembilan')",2,"('admitted_total', 'Pahang')",73,"('admitted_total', 'Negeri Sembilan')",30,"('admitted_total', 'Negeri Sembilan')",6,"('admitted_total', 'Melaka')",93,"('admitted_total', 'Negeri Sembilan')",52,"('admitted_total', 'Selangor')",47,"('admitted_total', 'Kedah')",96,"('admitted_total', 'Negeri Sembilan')",46,"('admitted_total', 'Kelantan')",13,"('admitted_total', 'Melaka')",54,"('admitted_total', 'Kedah')",42
"('admitted_total', 'Perak')",1,"('beds_covid', 'Negeri Sembilan')",2,"('admitted_total', 'Negeri Sembilan')",9,"('admitted_total', 'Melaka')",35,"('admitted_total', 'Pahang')",33,"('admitted_total', 'Pulau Pinang')",99,"('admitted_total', 'Perak')",1,"('admitted_total', 'Sabah')",100,"('admitted_total', 'Negeri Sembilan')",20,"('admitted_total', 'W.P. Kuala Lumpur')",98,"('admitted_total', 'W.P. Kuala Lumpur')",10,"('admitted_total', 'Negeri Sembilan')",2,"('admitted_total', 'Sabah')",87,"('admitted_total', 'Melaka')",88,"('admitted_total', 'Negeri Sembilan')",50,"('admitted_total', 'Kelantan')",2
"('admitted_total', 'Terengganu')",56,"('beds_covid', 'Selangor')",2,"('admitted_total', 'Pahang')",99,"('admitted_total', 'Sarawak')",76,"('admitted_total', 'Sarawak')",29,"('admitted_total', 'Terengganu')",45,"('admitted_total', 'Selangor')",100,"('admitted_total', 'Selangor')",62,"('admitted_total', 'Pahang')",88,"('beds_covid', 'Melaka')",68,"('admitted_total', 'W.P. Labuan')",2,"('admitted_total', 'Selangor')",7,"('admitted_total', 'W.P. Labuan')",55,"('admitted_total', 'Negeri Sembilan')",2,"('admitted_total', 'Sabah')",87,"('admitted_total', 'Melaka')",69
"('admitted_total', 'W.P. Kuala Lumpur')",7,"('beds_covid', 'W.P. Kuala Lumpur')",47,"('admitted_total', 'Perak')",57,"('admitted_total', 'W.P. Kuala Lumpur')",45,"('admitted_total', 'W.P. Kuala Lumpur')",8,"('beds_covid', 'Kedah')",39,"('admitted_total', 'W.P. Kuala Lumpur')",39,"('admitted_total', 'W.P. Kuala Lumpur')",56,"('admitted_total', 'Perlis')",53,"('beds_covid', 'Negeri Sembilan')",1,"('admitted_total', 'W.P. Putrajaya')",47,"('admitted_total', 'W.P. Kuala Lumpur')",16,"('admitted_total', 'W.P. Putrajaya')",99,"('admitted_total', 'Perak')",18,"('admitted_total', 'Selangor')",84,"('admitted_total', 'Negeri Sembilan')",53
"('beds_covid', 'Johor')",48,"('beds_covid', 'W.P. Labuan')",8,"('admitted_total', 'W.P. Kuala Lumpur')",2,"('admitted_total', 'W.P. Labuan')",37,"('beds_covid', 'Negeri Sembilan')",2,"('beds_covid', 'Kelantan')",27,"('admitted_total', 'W.P. Labuan')",30,"('beds_covid', 'Kedah')",6,"('admitted_total', 'Selangor')",2,"('beds_covid', 'W.P. Kuala Lumpur')",65,"('beds_covid', 'Kedah')",51,"('admitted_total', 'W.P. Putrajaya')",4,"('beds_covid', 'Kedah')",19,"('admitted_total', 'Terengganu')",80,"('admitted_total', 'W.P. Kuala Lumpur')",37,"('admitted_total', 'Perak')",77
"('beds_covid', 'Kedah')",14,"('beds_icu', 'Kedah')",78,"('beds_covid', 'Kedah')",79,"('beds_covid', 'Kedah')",31,"('beds_covid', 'Pulau Pinang')",60,"('beds_covid', 'Melaka')",1,"('beds_covid', 'Kedah')",44,"('beds_covid', 'Negeri Sembilan')",22,"('admitted_total', 'W.P. Kuala Lumpur')",49,"('beds_covid', 'W.P. Labuan')",1,"('beds_covid', 'Melaka')",67,"('beds_covid', 'Kedah')",26,"('beds_covid', 'Melaka')",2,"('admitted_total', 'W.P. Kuala Lumpur')",54,"('admitted_total', 'W.P. Labuan')",9,"('admitted_total', 'Sabah')",32
"('beds_covid', 'Melaka')",18,"('beds_icu', 'W.P. Labuan')",96,"('beds_covid', 'Melaka')",42,"('beds_covid', 'Melaka')",97,"('beds_covid', 'Selangor')",88,"('beds_covid', 'Perak')",91,"('beds_covid', 'Melaka')",5,"('beds_covid', 'Pahang')",42,"('beds_covid', 'Melaka')",41,"('beds_icu', 'Negeri Sembilan')",56,"('beds_covid', 'Negeri Sembilan')",22,"('beds_covid', 'Melaka')",61,"('beds_covid', 'Negeri Sembilan')",2,"('beds_covid', 'Johor')",97,"('beds_covid', 'Kedah')",2,"('admitted_total', 'Selangor')",46
"('beds_covid', 'Pulau Pinang')",60,"('beds_icu_covid', 'Johor')",21,"('beds_covid', 'Perak')",92,"('beds_covid', 'Sabah')",73,"('beds_covid', 'W.P. Kuala Lumpur')",2,"('beds_covid', 'Sabah')",12,"('beds_covid', 'Negeri Sembilan')",3,"('beds_covid', 'Sarawak')",57,"('beds_covid', 'Negeri Sembilan')",34,"('beds_icu', 'W.P. Labuan')",1,"('beds_covid', 'Sarawak')",73,"('beds_covid', 'Negeri Sembilan')",5,"('beds_covid', 'Selangor')",68,"('beds_covid', 'Kedah')",32,"('beds_covid', 'Kelantan')",43,"('admitted_total', 'W.P. Kuala Lumpur')",8
"('beds_covid', 'Sarawak')",45,"('beds_icu_covid', 'Perak')",4,"('beds_covid', 'Selangor')",37,"('beds_covid', 'Sarawak')",47,"('beds_covid', 'W.P. Labuan')",56,"('beds_covid', 'Sarawak')",60,"('beds_covid', 'Pahang')",100,"('beds_covid', 'Selangor')",2,"('beds_covid', 'Pahang')",51,"('beds_icu_covid', 'Negeri Sembilan')",52,"('beds_covid', 'Selangor')",2,"('beds_covid', 'Sabah')",26,"('beds_covid', 'W.P. Kuala Lumpur')",54,"('beds_covid', 'Melaka')",2,"('beds_covid', 'Melaka')",82,"('admitted_total', 'W.P. Putrajaya')",2
