Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('1day', 'Selangor')",20,"('1day', 'Kedah')",2,"('1mth', 'Selangor')",25,"('1day', 'W.P. Kuala Lumpur')",23,"('1mth', 'Melaka')",30,"('10mth', 'Melaka')",29,"('1mth', 'Kedah')",3,"('1day', 'W.P. Putrajaya')",23,"('1day', 'Kelantan')",7,"('1day', 'W.P. Labuan')",16,"('1day', 'W.P. Labuan')",1,"('1day', 'W.P. Kuala Lumpur')",2,"('1day', 'Selangor')",7,"('1day', 'Sabah')",3,"('1day', 'Melaka')",2,"('1day', 'Kelantan')",3
"('1day', 'W.P. Labuan')",2,"('1day', 'Negeri Sembilan')",29,"('1mth', 'W.P. Labuan')",17,"('1day', 'W.P. Labuan')",19,"('1mth', 'Perak')",19,"('10mth', 'Sarawak')",13,"('1mth', 'Selangor')",18,"('1mth', 'Sarawak')",3,"('1day', 'Melaka')",3,"('1mth', 'Kedah')",2,"('1mth', 'Sabah')",29,"('1day', 'W.P. Labuan')",3,"('1day', 'W.P. Kuala Lumpur')",7,"('1day', 'Selangor')",30,"('1mth', 'W.P. Labuan')",6,"('1day', 'W.P. Kuala Lumpur')",26
"('1week', 'Johor')",10,"('1day', 'Sabah')",15,"('1week', 'Sabah')",2,"('1mth', 'Perak')",12,"('1mth', 'Sabah')",5,"('11mth', 'Johor')",10,"('1week', 'Perak')",25,"('1mth', 'Selangor')",13,"('1day', 'Negeri Sembilan')",18,"('1week', 'Johor')",1,"('1week', 'Johor')",7,"('1day', 'W.P. Putrajaya')",2,"('1day', 'W.P. Putrajaya')",28,"('1day', 'W.P. Kuala Lumpur')",2,"('1week', 'Johor')",11,"('1day', 'W.P. Putrajaya')",27
"('1week', 'Kedah')",5,"('1mth', 'Kedah')",8,"('1week', 'Selangor')",2,"('1week', 'Pahang')",15,"('1mth', 'W.P. Labuan')",28,"('1day', 'Kedah')",19,"('1week', 'Selangor')",3,"('1mth', 'W.P. Labuan')",24,"('1day', 'Selangor')",24,"('1week', 'Kedah')",19,"('1week', 'Pahang')",2,"('1mth', 'Negeri Sembilan')",22,"('1mth', 'Sarawak')",21,"('1day', 'W.P. Labuan')",20,"('1week', 'Perak')",13,"('1mth', 'Selangor')",21
"('1week', 'Perak')",16,"('1week', 'Johor')",19,"('2day', 'Negeri Sembilan')",2,"('1week', 'Perak')",6,"('1week', 'Johor')",12,"('1day', 'Pahang')",1,"('1week', 'W.P. Kuala Lumpur')",2,"('2mth', 'Kedah')",2,"('1day', 'W.P. Putrajaya')",29,"('1week', 'Melaka')",1,"('1week', 'Perak')",7,"('1mth', 'Pulau Pinang')",25,"('1mth', 'W.P. Labuan')",25,"('1mth', 'Kedah')",3,"('1week', 'W.P. Kuala Lumpur')",18,"('1week', 'Sarawak')",3
"('1week', 'W.P. Kuala Lumpur')",25,"('1week', 'Kedah')",12,"('2day', 'Perak')",2,"('1week', 'Selangor')",24,"('1week', 'Kedah')",2,"('1day', 'Pulau Pinang')",3,"('2day', 'Negeri Sembilan')",2,"('2week', 'Kelantan')",14,"('1mth', 'Selangor')",13,"('1week', 'Pahang')",2,"('1week', 'Selangor')",1,"('1mth', 'Selangor')",20,"('1week', 'Johor')",14,"('1mth', 'W.P. Labuan')",15,"('2day', 'Johor')",2,"('2day', 'Negeri Sembilan')",2
"('2day', 'Johor')",1,"('1week', 'W.P. Labuan')",22,"('2day', 'W.P. Putrajaya')",25,"('2day', 'Johor')",1,"('1week', 'Negeri Sembilan')",24,"('1day', 'Terengganu')",1,"('2day', 'Perak')",3,"('2week', 'Melaka')",11,"('1week', 'Johor')",2,"('1week', 'Pulau Pinang')",9,"('1week', 'Terengganu')",2,"('1mth', 'W.P. Labuan')",13,"('1week', 'Melaka')",6,"('1week', 'Negeri Sembilan')",21,"('2day', 'Kedah')",27,"('2day', 'Pahang')",3
"('2day', 'Negeri Sembilan')",14,"('1week', 'W.P. Putrajaya')",18,"('2mth', 'Kedah')",19,"('2day', 'Negeri Sembilan')",7,"('1week', 'Perak')",15,"('1day', 'W.P. Putrajaya')",22,"('2mth', 'W.P. Labuan')",30,"('2week', 'Selangor')",29,"('2day', 'Negeri Sembilan')",13,"('1week', 'Selangor')",1,"('1week', 'W.P. Putrajaya')",5,"('1week', 'Perak')",2,"('1week', 'Perak')",26,"('1week', 'Perak')",3,"('2day', 'Perak')",1,"('2day', 'Sabah')",3
"('2mth', 'Melaka')",7,"('2day', 'Negeri Sembilan')",13,"('2week', 'Pahang')",12,"('2day', 'W.P. Putrajaya')",16,"('1week', 'Perlis')",16,"('1mth', 'Negeri Sembilan')",14,"('2week', 'Kedah')",11,"('3week', 'Johor')",18,"('2day', 'Perak')",13,"('1week', 'W.P. Kuala Lumpur')",21,"('2mth', 'Kedah')",26,"('2day', 'Negeri Sembilan')",13,"('2day', 'W.P. Putrajaya')",13,"('2day', 'Melaka')",12,"('2day', 'Sabah')",9,"('2day', 'Selangor')",17
"('2mth', 'Terengganu')",29,"('2day', 'Perak')",3,"('2week', 'Selangor')",2,"('2week', 'Johor')",7,"('2mth', 'Kedah')",22,"('2day', 'Johor')",1,"('2week', 'Negeri Sembilan')",8,"('3week', 'Pahang')",17,"('2day', 'Pulau Pinang')",13,"('2day', 'W.P. Labuan')",2,"('2week', 'Johor')",28,"('2mth', 'Kedah')",24,"('2mth', 'Sarawak')",16,"('2day', 'Negeri Sembilan')",2,"('2mth', 'Kedah')",22,"('2mth', 'Sabah')",3
