Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('1day', 'Sabah')",26,"('1day', 'W.P. Kuala Lumpur')",17,"('10mth', 'W.P. Labuan')",26,"('1day', 'Perak')",12,"('1day', 'Negeri Sembilan')",1,"('1day', 'Kedah')",1,"('1day', 'Pulau Pinang')",26,"('1day', 'Negeri Sembilan')",1,"('1mth', 'Sabah')",20,"('1day', 'Kedah')",28,"('1day', 'Negeri Sembilan')",1,"('1day', 'Melaka')",1,"('1day', 'W.P. Kuala Lumpur')",15,"('1day', 'Selangor')",20,"('1day', 'Pulau Pinang')",1,"('1day', 'Melaka')",1
"('1day', 'Selangor')",3,"('1day', 'W.P. Putrajaya')",10,"('10mth', 'W.P. Putrajaya')",25,"('1day', 'Selangor')",1,"('1day', 'Pahang')",1,"('1day', 'Kelantan')",13,"('1day', 'Sabah')",1,"('1day', 'Perak')",18,"('1mth', 'W.P. Labuan')",8,"('1day', 'Kelantan')",1,"('1day', 'Pahang')",1,"('1day', 'Negeri Sembilan')",1,"('1day', 'W.P. Labuan')",1,"('1day', 'W.P. Kuala Lumpur')",8,"('1day', 'Sabah')",1,"('1day', 'Pahang')",9
"('1day', 'W.P. Kuala Lumpur')",6,"('1mth', 'Negeri Sembilan')",28,"('11mth', 'Johor')",22,"('1mth', 'Melaka')",15,"('1day', 'Perak')",1,"('1day', 'Melaka')",1,"('1day', 'Sarawak')",12,"('1day', 'Perlis')",1,"('1week', 'Melaka')",24,"('1day', 'Melaka')",1,"('1day', 'Perak')",1,"('1day', 'Pahang')",1,"('1day', 'W.P. Putrajaya')",1,"('1day', 'W.P. Labuan')",12,"('1day', 'Selangor')",1,"('1day', 'Perak')",1
"('1day', 'W.P. Labuan')",1,"('1mth', 'Sabah')",21,"('11mth', 'Kedah')",19,"('1mth', 'Terengganu')",16,"('1day', 'Perlis')",1,"('1day', 'Negeri Sembilan')",1,"('1day', 'Selangor')",11,"('1day', 'Pulau Pinang')",16,"('1week', 'Pulau Pinang')",17,"('1day', 'Negeri Sembilan')",1,"('1day', 'Perlis')",1,"('1day', 'Perak')",1,"('1mth', 'Johor')",21,"('1mth', 'Selangor')",28,"('1day', 'W.P. Kuala Lumpur')",1,"('1day', 'Pulau Pinang')",14
"('1mth', 'Sarawak')",19,"('1mth', 'Sarawak')",14,"('11mth', 'Kelantan')",18,"('1week', 'Johor')",6,"('1day', 'Pulau Pinang')",1,"('1day', 'Pahang')",1,"('1day', 'Terengganu')",1,"('1day', 'Sabah')",1,"('1week', 'Sarawak')",26,"('1day', 'Pahang')",1,"('1day', 'Pulau Pinang')",1,"('1day', 'Perlis')",1,"('1mth', 'Kedah')",1,"('1week', 'Melaka')",1,"('1day', 'W.P. Labuan')",1,"('1day', 'Sabah')",26
"('1week', 'Johor')",20,"('1mth', 'Selangor')",11,"('11mth', 'Melaka')",17,"('1week', 'Kedah')",26,"('1day', 'Sabah')",1,"('1day', 'Perak')",1,"('1day', 'W.P. Kuala Lumpur')",1,"('1day', 'Selangor')",1,"('1week', 'W.P. Kuala Lumpur')",10,"('1day', 'Perak')",1,"('1day', 'Sabah')",1,"('1day', 'Pulau Pinang')",1,"('1mth', 'Kelantan')",1,"('1week', 'Pahang')",5,"('1mth', 'Johor')",1,"('1day', 'W.P. Putrajaya')",1
"('1week', 'Kedah')",28,"('1mth', 'W.P. Labuan')",30,"('11mth', 'Negeri Sembilan')",15,"('1week', 'Melaka')",25,"('1day', 'Sarawak')",1,"('1day', 'Pulau Pinang')",1,"('1day', 'W.P. Labuan')",1,"('1day', 'Terengganu')",1,"('2day', 'Kedah')",1,"('1day', 'Perlis')",1,"('1day', 'Sarawak')",1,"('1day', 'Sabah')",1,"('1mth', 'Melaka')",1,"('1week', 'Perak')",23,"('1mth', 'Kelantan')",27,"('1mth', 'Negeri Sembilan')",21
"('1week', 'Negeri Sembilan')",1,"('1week', 'Johor')",1,"('11mth', 'Pahang')",14,"('1week', 'Perak')",2,"('1day', 'Selangor')",1,"('1day', 'Sabah')",1,"('1day', 'W.P. Putrajaya')",1,"('1day', 'W.P. Kuala Lumpur')",1,"('2day', 'Negeri Sembilan')",1,"('1day', 'Pulau Pinang')",1,"('1day', 'Selangor')",1,"('1day', 'Sarawak')",1,"('1mth', 'Negeri Sembilan')",1,"('1week', 'Pulau Pinang')",21,"('1mth', 'Negeri Sembilan')",1,"('1mth', 'Pulau Pinang')",8
"('1week', 'W.P. Kuala Lumpur')",22,"('1week', 'Negeri Sembilan')",2,"('11mth', 'Perak')",13,"('1week', 'Sarawak')",4,"('1day', 'Terengganu')",1,"('1day', 'Sarawak')",1,"('1mth', 'Johor')",1,"('1day', 'W.P. Putrajaya')",1,"('2day', 'Perlis')",27,"('1day', 'Sabah')",1,"('1day', 'Terengganu')",1,"('1day', 'Selangor')",1,"('1mth', 'Pahang')",1,"('2day', 'Melaka')",19,"('1mth', 'Pahang')",12,"('1mth', 'Sabah')",1
"('2day', 'Melaka')",17,"('1week', 'Perak')",19,"('11mth', 'Perlis')",12,"('1week', 'Selangor')",28,"('1day', 'W.P. Kuala Lumpur')",1,"('1day', 'Terengganu')",1,"('1mth', 'Kedah')",1,"('1mth', 'Kedah')",1,"('2day', 'Sarawak')",6,"('1day', 'Sarawak')",1,"('1day', 'W.P. Kuala Lumpur')",1,"('1day', 'Terengganu')",1,"('1mth', 'Perak')",1,"('2day', 'Perak')",25,"('1mth', 'Perak')",1,"('1mth', 'Selangor')",1
